company_name,title,education,career,deadline,skill
쿠팡풀필먼트서비스(유),웹개발 / 서비스기획  경력직 채용,학력무관,경력무관 · 교육생,2024.12.26,"데이터분석가,데이터엔지니어,백엔드/서버개발,앱개발,웹개발"
(주)에이치알에스,재귀반사1위기업 연구개발/제조/구매총무/국내·해외영업/전산,대학교(4년)↑,경력 · 정규직,2024.12.15,"임베디드,정보통신,펌웨어,MCU,AWS"
나이스피앤아이(주),(주)BIGM 직군별 모집 [웹디자이너] [영상 편집자] [인사/총무],고졸↑,신입 · 경력 · 정규직,2024.12.31,"QA/테스터,SE(시스템엔지니어),FPGA,C#,C++"
주식회사 스포츠시그널,[ Craver ] 글로벌 뷰티 화장품 브랜드 SKIN1004 해외 서구권 인플루언서 마케팅 경력직 채용,학력무관,신입 · 경력 · 정규직,2024.12.10,"유지보수,SE(시스템엔지니어),네트워크,인프라,ERP"
(주)이티에스,2025년 상반기 각 부문 채용,대학교(4년)↑,신입 · 경력 · 정규직,2024.12.31,"프론트엔드,CSS,HTML,Java,Javascript"
(주)코디,[쿠팡 CFS] 2024 4분기 자동화설비보전 대규모 공개채용,고졸↑,경력 · 정규직,2024.12.10,"기술지원,원가관리,원가회계,사무직,총무"
뉴클(주),"2024년 하반기 신입, 경력 사원 모집",학력무관,신입 · 경력 · 정규직,2024.12.17,"기술지원,백엔드/서버개발,보안컨설팅,유지보수,정보보안"
(주)지에스티,나이스피앤아이 2024년 4분기 공개채용,대학교(4년)↑,신입 · 경력 · 정규직,2024.12.15,"백엔드/서버개발,인프라,DLP,SAP,C++"
(주)나라스페이스테크놀로지,[신입/경력] 스포츠 통계분석에 열정 가득한 인재를 모십니다.,학력무관,신입 · 경력 · 정규직,2024.12.29,"H/W,S/W,C#,C++,C언어"
뉴클(주),2024년 부문별 신입/경력직 모집,"대학(2,3년)↑",경력 3년↑ · 정규직,,"데이터분석가,데이터엔지니어,IT컨설팅,데이터 사이언티스트,유지보수"
(주)하이브랩,색조화장품전문기업 (주)코디 부문별 신입/경력 채용,"대학(2,3년)↑",경력 3년↑ · 정규직,2024.02.04,"웹개발,유지보수,반응형웹,빅데이터,웹표준·웹접근성"
(재)만불회,"뉴미디어 콘텐츠 기획 및 영상 크리에이터(경력, 신입) 모집","대학(2,3년)↑",신입 · 경력 · 정규직,2024.12.31,"유지보수,네트워크,ERP,AWS,Azure"
(주)일신비츠온,스마트팩토리 - C# / MS SQL 개발 모집(부산),학력무관,경력(년수무관) · 정규직,2024.12.19,"CSS,채용담당자,급여(Payroll),채용공고관리,영상제작"
(주)두원전자통신,[NARA SPACE] 각 부문별 직원모집,대학교(4년)↑,경력 · 정규직,2024.01.09,"데이터분석가,데이터엔지니어,Python,SQL,콘텐츠관리"
한양이엔지(주),AI 활용 풀스텍 웹 개발 크리에이터  [경력무관] 모집,학력무관,신입 · 경력 · 정규직,2024.12.15,"임베디드,펌웨어,H/W,S/W,Android"
윈덤그랜드부산,[하이브랩] 경력 2년 이상 AEM 개발자 모집,학력무관,신입 · 경력 · 정규직,2024.12.21,"유지보수,시설관리,설비점검,기계조작원,설비OP"
센소파트코리아(주),"경리,행정,전산,편집디자인,영상,유튜브,만불신문편집,만불출판편집,TM사원 직원채용",학력무관,신입 · 경력 · 정규직,2024.12.19,"기술지원,더존,4대보험,급여(Payroll),원천세신고"
,각부문 신입/경력 사원 공개채용,대학교(4년)↑,신입 · 경력 · 정규직,2024.12.08,"데이터분석가,데이터엔지니어,백엔드/서버개발,유지보수,프론트엔드"
,각 분야별 신입/경력사원 모집,대학교(4년)↑,경력무관 · 정규직,,"데이터분석가,데이터라벨링,데이터마이닝,빅데이터,스포츠에이전트"
,한양이엔지㈜ 부문별 수시채용 직원모집,학력무관,신입 · 경력 · 정규직 외,2024.12.31,"백엔드/서버개발,SI개발,관리회계,법인결산,법인세신고"
,[윈덤그랜드부산] - 5성급 호텔 신입/경력 채용,"대학(2,3년)↑",신입 · 경력 · 정규직,2024.12.17,"정보보안,네트워크,IR/공시,법인결산,재무제표"
,외국계기업 Application Engineer(로봇/머신비전) 정규직,대학교(4년)↑,신입 · 경력 · 정규직,2024.01.06,"VR(가상현실),에디터,영상디자이너,작가,뉴미디어"
