company_name,company_category,company_place,company_url
이제너두(주),데이터베이스 및 온라인정보 제공업,"서울 강남구 강남대로 556, 16층 (논현동,이투데이빌딩)",http://www.etbs.co.kr
(주)에너토크,"탭, 밸브 및 유사장치 제조업",경기 여주시 세종대왕면 능여로 344,http://www.enertork.com
(주)유엔에이엔지니어링,통신장비 수리업,"경기 군포시 공단로 149, 701호 (당동,군포아이밸리)",https://www.unaengineering.com/kr/
(주)드림하이테크,컴퓨터 프로그래밍 서비스업,"경기 수원시 영통구 덕영대로1556번길 16, E동 801호",http://drimhitech.com 
씨제이포디플렉스(주),기타 공학 연구개발업,"서울 용산구 한강대로23길 55, 8층 (한강로3가,아이파크몰)",http://www.cj4dx.com
코스텍시스템(주),반도체 제조용 기계 제조업,경기 평택시 서탄면 방꼬지길 231,http://www.kosteks.com
주식회사 대륜,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 영등포구 여의대로 24, 21층",https://www.daeryunlaw.com
(주)엠쓰리모바일,기타 무선 통신장비 제조업,"서울 금천구 가산디지털1로 196, 1107~1109호 (가산동,에이스테크노타워10차)",http://www.m3mobile.co.kr
에이치제이네트웍스,솔루션·SI·ERP·CRM,No address,"http://map.kakao.com/link/map/%EC%97%90%EC%9D%B4%EC%B9%98%EC%A0%9C%EC%9D%B4%EB%84%A4%ED%8A%B8%EC%9B%8D%EC%8A%A4,37.4766451549316,126.889578522942"
(주)티엑스알로보틱스,컨베이어장치 제조업,경기 부천시 원미구 옥산로 216,http://www.gubunki.com
한국이콜랩(유),그 외 기타 분류 안된 화학제품 제조업,"서울 송파구 법원로 135, 8층 (문정동,소노타워)",http://www.Ecolab.com
한화호텔앤드리조트(주),휴양콘도 운영업,No address,https://www.hwrc.co.kr/hwrc/index.do
(주)인피닉,응용 소프트웨어 개발 및 공급업,"서울 금천구 가산디지털1로 186, 701호 (가산동,제이플라츠)",http://www.infiniq.co.kr
한국이콜랩(유),그 외 기타 분류 안된 화학제품 제조업,"서울 송파구 법원로 135, 8층 (문정동,소노타워)",http://www.Ecolab.com
한화호텔앤드리조트(주),휴양콘도 운영업,No address,https://www.hwrc.co.kr/hwrc/index.do
(주)인피닉,응용 소프트웨어 개발 및 공급업,"서울 금천구 가산디지털1로 186, 701호 (가산동,제이플라츠)",http://www.infiniq.co.kr
(주)제이에스티,디스플레이 제조용 기계 제조업,"충남 아산시 배방읍 고속철대로 43, 1동 201호",http://www.jst-tech.co.kr
(주)지아이티,"물질 검사, 측정 및 분석기구 제조업",서울 송파구 마천로 87,http://www.gitauto.com
(주)맨파워그룹코리아,상용 인력 공급 및 인사관리 서비스업,서울 강남구 테헤란로 409,http://manpower.co.kr
신성통상(주),직물 도매업,서울 강동구 풍성로63길 84,http://www.ssts.co.kr
(주)맨파워그룹코리아,상용 인력 공급 및 인사관리 서비스업,서울 강남구 테헤란로 409,http://manpower.co.kr
(주)칼리버스,응용 소프트웨어 개발 및 공급업,서울 강남구 선릉로146길 27-7,http://www.caliverse.co.kr
(주)글로벌모터서비스,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업","서울 강남구 테헤란로 447, 14층",http://www.globalmotorservice.co.kr/
(주)인지이솔루션,축전지 제조업,대전 유성구 테크노2로 80-28,http://www.inzi-esol.co.kr
(주)래딕스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업",대구 달서구 호산로 89,http://www.radixfa.com
(주)리더마인,응용 소프트웨어 개발 및 공급업,"서울 강남구 논현로99길 23, 비1-1호 (역삼동,인사이트빌딩)",http://www.leadermine.co.kr
(주)건담앤컴퍼니,컴퓨터시스템 통합 자문 및 구축 서비스업,"서울 송파구 백제고분로 446, 3층 (방이동,송암빌딩)",http://www.gdnc.co.kr
(주)데이터쿡,컴퓨터 프로그래밍 서비스업,"서울 마포구 월드컵로8길 45-8, 3층 3073호 (서교동,양성빌딩)",http://www.datacook.kr
데상트코리아(주),남녀용 겉옷 및 셔츠 도매업,"서울 송파구 올림픽로 300, 32층 (신천동,롯데월드타워)",http://www.descentekorea.co.kr
동아화성(주),고무패킹류 제조업,경남 김해시 유하로 154-9,http://www.dacm.com
(주)유아이에스,"컴퓨터 및 주변장치, 소프트웨어 도매업",No address,http://www.uistech.co.kr
동성인재개발교육원,기타 기술 및 직업훈련학원,"부산 부산진구 중앙대로 668, 6층 (부전동,에이원프라자)",http://www.dshrd.or.kr
(주)드림텍,그 외 기타 전자부품 제조업,"경기 성남시 분당구 대왕판교로 670, 에이동 10층 1001호, 1004호, 1005호 (삼평동,판교테크노밸리 유스페이스2)",http://www.idreamtech.co.kr
(주)에이블리,전기·전자·제어,No address,No homepage URL
신일제약(주),완제 의약품 제조업,충북 충주시 앙성면 복상골길 28,http://www.sinilpharm.com
(주)네오랩컨버전스,이상규,No address,"http://map.kakao.com/link/map/%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC+%EB%84%A4%EC%98%A4%EB%9E%A9%EC%BB%A8%EB%B2%84%EC%A0%84%EC%8A%A4,37.4821079378772,126.895281502292"
(주)지란지교시큐리티,응용 소프트웨어 개발 및 공급업,"경기 성남시 수정구 금토로80번길 37, 4층 (금토동,인피니티타워)",https://jiransecurity.com
(주)드림텍,그 외 기타 전자부품 제조업,"경기 성남시 분당구 대왕판교로 670, 에이동 10층 1001호, 1004호, 1005호 (삼평동,판교테크노밸리 유스페이스2)",http://www.idreamtech.co.kr
(주)가스트론,전기경보 및 신호장치 제조업,경기 군포시 군포첨단산업1로 23,http://www.gastron.com
(주)비투엔,응용 소프트웨어 개발 및 공급업,"서울 용산구 서빙고로51길 52, 2층",http://www.b2en.com
네이버시스템(주),응용 소프트웨어 개발 및 공급업,"서울 송파구 중대로 135, 동관 16층 1601호 (가락동,아이티벤처타워)",http://www.neighbor21.co.kr
(주)에이치제이,표면처리 및 적층 직물 제조업,경기 화성시 향남읍 발안공단로4길 30,http://www.hjlite.com
(주)비아이지엠,기타 가공식품 도매업,No address,"http://map.kakao.com/link/map/%28%EC%A3%BC%29%EB%B9%84%EC%95%84%EC%9D%B4%EC%A7%80%EC%97%A0,37.6625507246319,127.040568535069"
(주)크레이버코퍼레이션,화장품 및 화장용품 도매업,"서울 강남구 테헤란로4길 14, 12층 (역삼동,미림타워)",https://www.cravercorp.com/
(주)메디코슨,http://www.medicoson.com,No address,No hompage URL
쿠팡풀필먼트서비스(유),기타 육상 운송지원 서비스업,No address,No homepage URL
(주)에이치알에스,합성수지 및 기타 플라스틱 물질 제조업,경기 평택시 팽성읍 추팔산단2길 7,http://www.hrssilicone.com
나이스피앤아이(주),데이터베이스 및 온라인정보 제공업,"서울 영등포구 국회대로70길 19, 4층",http://www.nicepricing.co.kr
주식회사 스포츠시그널,포털·인터넷·컨텐츠,No address,"http://map.kakao.com/link/map/%EC%A3%BC%EC%8B%9D%ED%9A%8C%EC%82%AC+%EC%8A%A4%ED%8F%AC%EC%B8%A0%EC%8B%9C%EA%B7%B8%EB%84%90,37.4928727432965,127.012979871645"
(주)이티에스,그 외 기타 특수목적용 기계 제조업,충남 아산시 음봉면 스마트산단로 91,http://www.ets1.co.kr
(주)코디,화장품 제조업,"경기 용인시 수지구 광교중앙로 338, 에이동 에이301호, 에이302호, 에이303호,에이304호,에이308호, 에이309호, 에이310호,에이315호, 에",http://www.kodi.co.kr
